env,experiment,mean,n,ci_half_width,baseline_experiment,prob_lt_prior0,highlight,display_unicode,display_tex
finger_spin,a1_single_layer_prior0.001,0.7941117818813132,16,0.007646924808221847,a1_single_layer_prior0,0.5126,false,0.794±0.008,$0.794\pm0.008$
finger_spin,a1_single_layer_prior0.01,0.7948725536616161,16,0.008752047088581957,a1_single_layer_prior0,0.5753,false,0.795±0.009,$0.795\pm0.009$
finger_spin,a1_single_layer_prior0.1,0.8022657039141414,16,0.005656916278553004,a1_single_layer_prior0,0.1785,false,0.802±0.006,$0.802\pm0.006$
finger_turn_easy,a1_single_layer_prior0,0.6825716934974747,16,0.016277277099873852,a1_single_layer_prior0,,false,0.683±0.016,$0.683\pm0.016$
finger_turn_easy,a1_single_layer_prior0.001,0.6768452099116161,16,0.02494128651753057,a1_single_layer_prior0,0.4804,false,0.677±0.025,$0.677\pm0.025$
finger_turn_easy,a1_single_layer_prior0.01,0.676685211489899,16,0.020239093037057943,a1_single_layer_prior0,0.5761,false,0.677±0.020,$0.677\pm0.020$
finger_turn_easy,a1_single_layer_prior0.1,0.6763593355429293,16,0.013786388131285863,a1_single_layer_prior0,0.2916,false,0.676±0.014,$0.676\pm0.014$
finger_turn_hard,a1_single_layer_prior0,0.8084079861111111,16,0.019079366290895874,a1_single_layer_prior0,,false,0.808±0.019,$0.808\pm0.019$
finger_turn_hard,a1_single_layer_prior0.001,0.8000967487373737,16,0.017051881253081578,a1_single_layer_prior0,0.4412,false,0.800±0.017,$0.800\pm0.017$
finger_turn_hard,a1_single_layer_prior0.01,0.8040573705808081,16,0.01802023405324358,a1_single_layer_prior0,0.4732,false,0.804±0.018,$0.804\pm0.018$
finger_turn_hard,a1_single_layer_prior0.1,0.810495699179293,16,0.01389778896856991,a1_single_layer_prior0,0.2889,false,0.810±0.014,$0.810\pm0.014$
fish_swim,a1_single_layer_prior0,0.48139136188633674,16,0.022895504842972186,a1_single_layer_prior0,,false,0.481±0.023,$0.481\pm0.023$
fish_swim,a1_single_layer_prior0.001,0.49172521267265945,16,0.025103283988245864,a1_single_layer_prior0,0.3145,false,0.492±0.025,$0.492\pm0.025$
fish_swim,a1_single_layer_prior0.01,0.4722217114110139,16,0.020702910617873323,a1_single_layer_prior0,0.5578,false,0.472±0.021,$0.472\pm0.021$
fish_swim,a1_single_layer_prior0.1,0.4780293298791577,16,0.015900806521953165,a1_single_layer_prior0,0.396,false,0.478±0.016,$0.478\pm0.016$
fish_upright,a1_single_layer_prior0,0.44007898008959334,16,0.017412423340524234,a1_single_layer_prior0,,false,0.440±0.017,$0.440\pm0.017$
fish_upright,a1_single_layer_prior0.001,0.45566205801562093,16,0.016885509590205957,a1_single_layer_prior0,0.2329,false,0.456±0.017,$0.456\pm0.017$
